ID,Time,Status,Previous stops,Current stop,Next stops,Assigned legs,Onboard legs,Alighted legs,Cumulative distance,Stop longitude,Stop latitude,Longitude,Latitude,Polylines,Mode
1,56700,VehicleStatus.RELEASE,[],"1: (-73.667207,45.555819)","['2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],[],[],0.0,-73.667207,45.555819,-73.667207,45.555819,,bus2
1,56700,VehicleStatus.IDLE,[],"1: (-73.667207,45.555819)","['2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],[],[],0.0,-73.667207,45.555819,-73.667207,45.555819,,bus2
2,57600,VehicleStatus.RELEASE,[],"3: (-73.667209,45.555821)","['7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],[],[],0.0,-73.667209,45.555821,-73.667209,45.555821,,bus2
1,57600,VehicleStatus.IDLE,[],"1: (-73.667207,45.555819)","['2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']","['1_1', '4_1', '3_1', '2_1']",[],[],0.0,-73.667207,45.555819,-73.667207,45.555819,,bus2
2,57600,VehicleStatus.IDLE,[],"3: (-73.667209,45.555821)","['7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],[],[],0.0,-73.667209,45.555821,-73.667209,45.555821,,bus2
1,57600,VehicleStatus.BOARDING,[],"1: (-73.667207,45.555819)","['2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']","['1_1', '4_1', '3_1', '2_1']",[],[],0.0,-73.667207,45.555819,-73.667207,45.555819,,bus2
1,57600,VehicleStatus.IDLE,[],"1: (-73.667207,45.555819)","['2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],"['1_1', '4_1', '3_1', '2_1']",[],0.0,-73.667207,45.555819,-73.667207,45.555819,,bus2
1,57600,VehicleStatus.ENROUTE,"['1: (-73.667207,45.555819)']",None,"['2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],"['1_1', '4_1', '3_1', '2_1']",[],,,,,,,bus2
1,57960,VehicleStatus.ALIGHTING,"['1: (-73.667207,45.555819)']","2: (-73.667208,45.55582)","['3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],"['1_1', '4_1', '3_1', '2_1']",[],0.2,-73.667208,45.55582,-73.667208,45.55582,,bus2
1,57960,VehicleStatus.IDLE,"['1: (-73.667207,45.555819)']","2: (-73.667208,45.55582)","['3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],"['1_1', '4_1', '3_1', '2_1']",[],0.2,-73.667208,45.55582,-73.667208,45.55582,,bus2
1,57960,VehicleStatus.ENROUTE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)']",None,"['3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],"['1_1', '4_1', '3_1', '2_1']",[],,,,,,,bus2
1,58290,VehicleStatus.ALIGHTING,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)']","3: (-73.667209,45.555821)","['4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],"['1_1', '4_1', '3_1', '2_1']",[],0.4,-73.667209,45.555821,-73.667209,45.555821,,bus2
1,58290,VehicleStatus.IDLE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)']","3: (-73.667209,45.555821)","['4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",0.4,-73.667209,45.555821,-73.667209,45.555821,,bus2
1,58290,VehicleStatus.ENROUTE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)']",None,"['4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",,,,,,,bus2
2,58500,VehicleStatus.IDLE,[],"3: (-73.667209,45.555821)","['7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']","['1_2', '3_2', '2_2']",[],[],0.0,-73.667209,45.555821,-73.667209,45.555821,,bus2
2,58500,VehicleStatus.BOARDING,[],"3: (-73.667209,45.555821)","['7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']","['1_2', '3_2', '2_2']",[],[],0.0,-73.667209,45.555821,-73.667209,45.555821,,bus2
2,58500,VehicleStatus.IDLE,[],"3: (-73.667209,45.555821)","['7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],"['1_2', '3_2', '2_2']",[],0.0,-73.667209,45.555821,-73.667209,45.555821,,bus2
2,58500,VehicleStatus.ENROUTE,"['3: (-73.667209,45.555821)']",None,"['7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],"['1_2', '3_2', '2_2']",[],,,,,,,bus2
1,58600,VehicleStatus.ALIGHTING,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)']","4: (-73.667209,45.555822)","['5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",0.5,-73.667209,45.555822,-73.667209,45.555822,,bus2
1,58600,VehicleStatus.IDLE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)']","4: (-73.667209,45.555822)","['5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",0.5,-73.667209,45.555822,-73.667209,45.555822,,bus2
1,58600,VehicleStatus.ENROUTE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)']",None,"['5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",,,,,,,bus2
3,58800,VehicleStatus.RELEASE,[],"7: (-73.66721,45.555826)","['9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],[],[],0.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
3,58800,VehicleStatus.IDLE,[],"7: (-73.66721,45.555826)","['9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],[],[],0.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
2,58900,VehicleStatus.ALIGHTING,"['3: (-73.667209,45.555821)']","7: (-73.66721,45.555826)","['8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],"['1_2', '3_2', '2_2']",[],0.25,-73.66721,45.555826,-73.66721,45.555826,,bus2
2,58900,VehicleStatus.IDLE,"['3: (-73.667209,45.555821)']","7: (-73.66721,45.555826)","['8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],['2_2'],"['1_2', '3_2']",0.25,-73.66721,45.555826,-73.66721,45.555826,,bus2
2,58900,VehicleStatus.ENROUTE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)']",None,"['8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],['2_2'],"['1_2', '3_2']",,,,,,,bus2
1,58950,VehicleStatus.ALIGHTING,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)']","5: (-73.667208,45.555822)","['6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",0.8,-73.667208,45.555822,-73.667208,45.555822,,bus2
1,58950,VehicleStatus.IDLE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)']","5: (-73.667208,45.555822)","['6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",0.8,-73.667208,45.555822,-73.667208,45.555822,,bus2
1,58950,VehicleStatus.ENROUTE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)']",None,"['6: (-73.66721,45.555824)', '7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",,,,,,,bus2
1,59250,VehicleStatus.ALIGHTING,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)']","6: (-73.66721,45.555824)","['7: (-73.66721,45.555826)']",[],['4_1'],"['1_1', '3_1', '2_1']",0.9,-73.66721,45.555824,-73.66721,45.555824,,bus2
1,59250,VehicleStatus.IDLE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)']","6: (-73.66721,45.555824)","['7: (-73.66721,45.555826)']",[],[],"['1_1', '3_1', '2_1', '4_1']",0.9,-73.66721,45.555824,-73.66721,45.555824,,bus2
1,59250,VehicleStatus.ENROUTE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)']",None,"['7: (-73.66721,45.555826)']",[],[],"['1_1', '3_1', '2_1', '4_1']",,,,,,,bus2
2,59300,VehicleStatus.ALIGHTING,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)']","8: (-73.66722,45.555828)","['9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",['5_1'],['2_2'],"['1_2', '3_2']",0.4,-73.66722,45.555828,-73.66722,45.555828,,bus2
2,59300,VehicleStatus.IDLE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)']","8: (-73.66722,45.555828)","['9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",['5_1'],['2_2'],"['1_2', '3_2']",0.4,-73.66722,45.555828,-73.66722,45.555828,,bus2
2,59300,VehicleStatus.BOARDING,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)']","8: (-73.66722,45.555828)","['9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",['5_1'],['2_2'],"['1_2', '3_2']",0.4,-73.66722,45.555828,-73.66722,45.555828,,bus2
2,59300,VehicleStatus.IDLE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)']","8: (-73.66722,45.555828)","['9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],"['2_2', '5_1']","['1_2', '3_2']",0.4,-73.66722,45.555828,-73.66722,45.555828,,bus2
2,59300,VehicleStatus.ENROUTE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)']",None,"['9: (-73.66721,45.555827)', '11: (-73.66724,45.55583)']",[],"['2_2', '5_1']","['1_2', '3_2']",,,,,,,bus2
1,59580,VehicleStatus.ALIGHTING,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)']","7: (-73.66721,45.555826)",[],[],[],"['1_1', '3_1', '2_1', '4_1']",1.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
1,59580,VehicleStatus.IDLE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)']","7: (-73.66721,45.555826)",[],[],[],"['1_1', '3_1', '2_1', '4_1']",1.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
1,59580,VehicleStatus.COMPLETE,"['1: (-73.667207,45.555819)', '2: (-73.667208,45.55582)', '3: (-73.667209,45.555821)', '4: (-73.667209,45.555822)', '5: (-73.667208,45.555822)', '6: (-73.66721,45.555824)']","7: (-73.66721,45.555826)",[],[],[],"['1_1', '3_1', '2_1', '4_1']",1.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
2,59620,VehicleStatus.ALIGHTING,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)']","9: (-73.66721,45.555827)","['11: (-73.66724,45.55583)']",[],"['2_2', '5_1']","['1_2', '3_2']",0.5,-73.66721,45.555827,-73.66721,45.555827,,bus2
2,59620,VehicleStatus.IDLE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)']","9: (-73.66721,45.555827)","['11: (-73.66724,45.55583)']",[],['5_1'],"['1_2', '3_2', '2_2']",0.5,-73.66721,45.555827,-73.66721,45.555827,,bus2
2,59640,VehicleStatus.IDLE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)']","9: (-73.66721,45.555827)","['11: (-73.66724,45.55583)']",[],['5_1'],"['1_2', '3_2', '2_2']",0.5,-73.66721,45.555827,-73.66721,45.555827,,bus2
2,59640,VehicleStatus.ENROUTE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)']",None,"['11: (-73.66724,45.55583)']",[],['5_1'],"['1_2', '3_2', '2_2']",,,,,,,bus2
3,59700,VehicleStatus.IDLE,[],"7: (-73.66721,45.555826)","['9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",['3_3'],[],[],0.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
3,59700,VehicleStatus.BOARDING,[],"7: (-73.66721,45.555826)","['9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",['3_3'],[],[],0.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
3,59700,VehicleStatus.IDLE,[],"7: (-73.66721,45.555826)","['9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],['3_3'],[],0.0,-73.66721,45.555826,-73.66721,45.555826,,bus2
3,59700,VehicleStatus.ENROUTE,"['7: (-73.66721,45.555826)']",None,"['9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],['3_3'],[],,,,,,,bus2
2,59940,VehicleStatus.ALIGHTING,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)']","11: (-73.66724,45.55583)",[],[],['5_1'],"['1_2', '3_2', '2_2']",0.65,-73.66724,45.55583,-73.66724,45.55583,,bus2
2,59940,VehicleStatus.IDLE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)']","11: (-73.66724,45.55583)",[],[],[],"['1_2', '3_2', '2_2', '5_1']",0.65,-73.66724,45.55583,-73.66724,45.55583,,bus2
2,59940,VehicleStatus.COMPLETE,"['3: (-73.667209,45.555821)', '7: (-73.66721,45.555826)', '8: (-73.66722,45.555828)', '9: (-73.66721,45.555827)']","11: (-73.66724,45.55583)",[],[],[],"['1_2', '3_2', '2_2', '5_1']",0.65,-73.66724,45.55583,-73.66724,45.55583,,bus2
3,60010,VehicleStatus.ALIGHTING,"['7: (-73.66721,45.555826)']","9: (-73.66721,45.555827)","['10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],['3_3'],[],0.15,-73.66721,45.555827,-73.66721,45.555827,,bus2
3,60010,VehicleStatus.IDLE,"['7: (-73.66721,45.555826)']","9: (-73.66721,45.555827)","['10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],['3_3'],[],0.15,-73.66721,45.555827,-73.66721,45.555827,,bus2
3,60010,VehicleStatus.ENROUTE,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)']",None,"['10: (-73.6672,45.555825)', '11: (-73.66724,45.55583)']",[],['3_3'],[],,,,,,,bus2
3,60340,VehicleStatus.ALIGHTING,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)']","10: (-73.6672,45.555825)","['11: (-73.66724,45.55583)']",[],['3_3'],[],0.5,-73.6672,45.555825,-73.6672,45.555825,,bus2
3,60340,VehicleStatus.IDLE,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)']","10: (-73.6672,45.555825)","['11: (-73.66724,45.55583)']",[],[],['3_3'],0.5,-73.6672,45.555825,-73.6672,45.555825,,bus2
3,60340,VehicleStatus.ENROUTE,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)']",None,"['11: (-73.66724,45.55583)']",[],[],['3_3'],,,,,,,bus2
3,60640,VehicleStatus.ALIGHTING,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)']","11: (-73.66724,45.55583)",[],[],[],['3_3'],0.7,-73.66724,45.55583,-73.66724,45.55583,,bus2
3,60640,VehicleStatus.IDLE,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)']","11: (-73.66724,45.55583)",[],[],[],['3_3'],0.7,-73.66724,45.55583,-73.66724,45.55583,,bus2
3,60640,VehicleStatus.COMPLETE,"['7: (-73.66721,45.555826)', '9: (-73.66721,45.555827)', '10: (-73.6672,45.555825)']","11: (-73.66724,45.55583)",[],[],[],['3_3'],0.7,-73.66724,45.55583,-73.66724,45.55583,,bus2
